country,continent,lifeExp,pop,gdpPercap
新北市,北,2052.5667,4023620,733776
臺中市,中,2214.8968,2816667,724905
高雄市,南,2951.8524,2773984,684260
臺北市,北,271.7997,2635286,990292
桃園市,北,1220.954,2254363,731518
臺南市,南,2191.6531,1879115,643743
彰化縣,中,1074.396,1271015,618969
屏東縣,南,2775.6003,817193,592066
雲林縣,中,1290.8326,680050,607776
新竹縣,北,1427.5369,565272,724840
苗栗縣,中,1820.3149,544762,657292
嘉義縣,南,1903.6367,502007,562743
南投縣,中,4106.436,493403,569453
宜蘭縣,東,2143.6251,453951,700034
新竹市,北,104.1526,449425,853089
基隆市,北,132.7589,368792,706808
花蓮縣,東,4628.5714,325706,693292
嘉義市,南,60.0256,267472,709033
臺東縣,東,3515.2526,216308,623485
金門縣,離島,151.656,139951,668582
澎湖縣,離島,126.8641,105117,709066
連江縣,離島,28.8,13034,776615
