country,continent,area,gdpPercap,pop
新北市,北,2052.5667,733776,4023620
臺中市,中,2214.8968,724905,2816667
高雄市,南,2951.8524,684260,2773984
臺北市,北,271.7997,990292,2635286
桃園市,北,1220.954,731518,2254363
臺南市,南,2191.6531,643743,1879115
彰化縣,中,1074.396,618969,1271015
屏東縣,南,2775.6003,592066,817193
雲林縣,中,1290.8326,607776,680050
新竹縣,北,1427.5369,724840,565272
苗栗縣,中,1820.3149,657292,544762
嘉義縣,南,1903.6367,562743,502007
南投縣,中,4106.436,569453,493403
宜蘭縣,東,2143.6251,700034,453951
新竹市,北,104.1526,853089,449425
基隆市,北,132.7589,706808,368792
花蓮縣,東,4628.5714,693292,325706
嘉義市,南,60.0256,709033,267472
臺東縣,東,3515.2526,623485,216308
金門縣,離島,151.656,668582,139951
澎湖縣,離島,126.8641,709066,105117
連江縣,離島,28.8,776615,13034
